rod_id	position	measurement_index	point_index	value
Rod2	endN1	40	9	0.01663
Rod2	endN1	40	10	0.01844
Rod2	endN1	40	11	0.02008
Rod2	endN1	40	12	0.02189
Rod2	endN1	40	13	0.02337
Rod2	endN1	40	14	0.02518
Rod2	endN1	40	15	0.02682
Rod2	endN1	41	0	0.00036
Rod2	endN1	41	1	0.00216
Rod2	endN1	41	2	0.00381
Rod2	endN1	41	3	0.00562
Rod2	endN1	41	4	0.00742
Rod2	endN1	41	5	0.01038
Rod2	endN1	41	6	0.01203
Rod2	endN1	41	7	0.014
Rod2	endN1	41	8	0.01548
Rod2	endN1	41	9	0.01696
Rod2	endN1	41	10	0.01844
Rod2	endN1	41	11	0.02025
Rod2	endN1	41	12	0.02205
Rod2	endN1	41	13	0.02353
Rod2	endN1	41	14	0.02518
Rod2	endN1	41	15	0.02666
Rod2	endN1	42	0	0.00068
Rod2	endN1	42	1	0.00233
Rod2	endN1	42	2	0.00397
Rod2	endN1	42	3	0.00578
Rod2	endN1	42	4	0.00742
Rod2	endN1	42	5	0.01055
Rod2	endN1	42	6	0.01203
Rod2	endN1	42	7	0.01384
Rod2	endN1	42	8	0.01564
Rod2	endN1	42	9	0.01712
Rod2	endN1	42	10	0.0186
Rod2	endN1	42	11	0.02025
Rod2	endN1	42	12	0.02205
Rod2	endN1	42	13	0.0237
Rod2	endN1	42	14	0.02501
Rod2	endN1	42	15	0.02666
Rod2	endN1	43	0	0.00068
Rod2	endN1	43	1	0.00249
Rod2	endN1	43	2	0.00414
Rod2	endN1	43	3	0.00578
Rod2	endN1	43	4	0.00742
Rod2	endN1	43	5	0.01038
Rod2	endN1	43	6	0.01219
Rod2	endN1	43	7	0.014
Rod2	endN1	43	8	0.01515
Rod2	endN1	43	9	0.01696
Rod2	endN1	43	10	0.0186
Rod2	endN1	43	11	0.02025
Rod2	endN1	43	12	0.02189
Rod2	endN1	43	13	0.0237
Rod2	endN1	43	14	0.02518
Rod2	endN1	43	15	0.02666
Rod2	endN1	44	0	0.00068
Rod2	endN1	44	1	0.00249
Rod2	endN1	44	2	0.0043
Rod2	endN1	44	3	0.00562
Rod2	endN1	44	4	0.00726
Rod2	endN1	44	5	0.01055
Rod2	endN1	44	6	0.01219
Rod2	endN1	44	7	0.01367
Rod2	endN1	44	8	0.01548
Rod2	endN1	44	9	0.01696
Rod2	endN1	44	10	0.0186
Rod2	endN1	44	11	0.02008
Rod2	endN1	44	12	0.02189
Rod2	endN1	44	13	0.02353
Rod2	endN1	44	14	0.02501
Rod2	endN1	44	15	0.02649
Rod2	endN1	45	0	0.00052
Rod2	endN1	45	1	0.00233
Rod2	endN1	45	2	0.00447
Rod2	endN1	45	3	0.00562
Rod2	endN1	45	4	0.00742
Rod2	endN1	45	5	0.01071
Rod2	endN1	45	6	0.01236
Rod2	endN1	45	7	0.01367
Rod2	endN1	45	8	0.01531
Rod2	endN1	45	9	0.01712
Rod2	endN1	45	10	0.01844
Rod2	endN1	45	11	0.02025
Rod2	endN1	45	12	0.02205
Rod2	endN1	45	13	0.02353
Rod2	endN1	45	14	0.02518
Rod2	endN1	45	15	0.02682
Rod2	endN1	46	0	0.00052
Rod2	endN1	46	1	0.00233
Rod2	endN1	46	2	0.00414
Rod2	endN1	46	3	0.00594
Rod2	endN1	46	4	0.00759
Rod2	endN1	46	5	0.01038
Rod2	endN1	46	6	0.01219
Rod2	endN1	46	7	0.014
Rod2	endN1	46	8	0.01564
Rod2	endN1	46	9	0.01696
Rod2	endN1	46	10	0.0186
Rod2	endN1	46	11	0.02025
Rod2	endN1	46	12	0.02189
Rod2	endN1	46	13	0.02353
Rod2	endN1	46	14	0.02518
Rod2	endN1	46	15	0.02682
Rod2	endN1	47	0	0.00068
Rod2	endN1	47	1	0.00216
Rod2	endN1	47	2	0.00447
Rod2	endN1	47	3	0.00562
Rod2	endN1	47	4	0.00726
Rod2	endN1	47	5	0.01071
Rod2	endN1	47	6	0.01219
Rod2	endN1	47	7	0.01384
Rod2	endN1	47	8	0.01548
Rod2	endN1	47	9	0.01696
Rod2	endN1	47	10	0.01844
Rod2	endN1	47	11	0.02025
Rod2	endN1	47	12	0.02205
Rod2	endN1	47	13	0.02353
Rod2	endN1	47	14	0.02518
Rod2	endN1	47	15	0.02649
Rod2	endN1	48	0	0.00068
Rod2	endN1	48	1	0.00249
